id,title,view_count,comment_count,like_count
1,Marion Bridge,5869,96073,36449
2,Tokyo-Ga,32531,50423,33057
3,Picnic at Hanging Rock,87139,86898,28370
4,"Cantante, El",60221,62953,64833
5,"Kiss Before Dying, A",91349,56702,6791
6,"Slingshot, The (Kådisbellan)",32251,23404,21113
7,Illegal,24772,87860,88502
8,The Sea That Thinks,16936,41002,13513
9,The Cat's Out,7379,56235,10621
10,Ride the High Country,51240,81534,11734
11,I Am Love (Io sono l'amore),8637,6261,38991
12,Mr. Mom,59304,88205,19895
13,Evil Remains (Trespassing),42780,51438,10031
14,Witch's Night Out,19200,13577,34074
15,Thirty Day Princess,24610,55263,38474
16,Elle: A Modern Cinderella Tale,89327,34875,31904
17,"Speed Of Thought, The",52640,55971,9607
18,Life for Sale (Kotirauha),47596,59331,16043
19,They Have Escaped (He ovat paenneet),5948,58703,54599
20,"Intruder, The",61559,6337,25957
21,"Hound of the Baskervilles, The",47144,75233,68734
22,Passionada,81216,92204,38023
23,Please Don't Eat the Daisies,11260,22068,67460
24,Sleepwalkers,69626,87142,37206
25,Looking for Maria Sanchez,92992,41127,80208
26,Death of a Salesman,72737,83340,46505
27,"Cadaver Christmas, A",73538,64666,86528
28,Down to the Bone,7181,2207,72375
29,Billy's Holiday,73596,39683,4937
30,"Greatest Love, The (Europa '51)",56571,83407,13886
31,Triumph of the Spirit,50979,26144,4762
32,Death of a Cyclist (Muerte de un ciclista),94227,74854,13900
33,"Christmas Party, The (Joulubileet)",49650,66124,35178
34,Look,47087,74143,37369
35,C.O.G.,4226,87118,31291
36,Miami Rhapsody,79478,2575,32946
37,Under the Stars (Bajo las estrellas),34311,40423,51868
38,"Night of the Following Day, The",53903,84529,12750
39,"Howards of Virginia, The",57996,51215,38364
40,Little Miss Broadway,29704,82639,93417
41,Immediate Family,16107,99983,98306
42,Piranhaconda,57623,66325,63025
43,Ali Baba Goes to Town,1959,44816,29184
44,Charlie Chan in Shanghai,42293,7877,77985
45,Killing Words (Palabras encadenadas),51508,68945,79748
46,"Wing and the Thigh, The (L'aile ou la cuisse)",15175,23901,80376
47,Rolling Family (Familia rodante),13592,88142,6842
48,National Lampoon's Cattle Call (Cattle Call),98329,15058,5179
49,Flame of Barbary Coast,93474,826,8839
50,Wondrous Oblivion,3843,13576,73224
51,"Lucky Texan, The",72159,46594,22469
52,Wolf Children (Okami kodomo no ame to yuki),47382,93000,46136
53,"Reluctant Saint, The",71679,92792,40520
54,Tristram Shandy: A Cock and Bull Story,53130,21687,65411
55,In the Good Old Summertime,76960,54205,81741
56,The Vixen,22322,75423,73696
57,Breakin',10913,37647,26053
58,Death Wish 2,12348,89934,35134
59,"Resident, The",96091,27213,68595
60,End Game,48586,70616,90318
61,Nanny McPhee,61765,64045,76833
62,Troy,23727,86122,93243
63,"Koruto wa ore no pasupooto (Colt Is My Passport, A)",65910,56659,26282
64,Fuck,92789,79603,13902
65,On Probation (Tiempo de Valientes),52042,57978,66783
66,Cliffhanger,6843,76054,37179
67,Pokémon the Movie: White - Victini and Zekrom,65685,43283,34532
68,Mantle,43317,60032,25006
69,Lucrèce Borgia,44446,61570,2854
70,Anita,58010,81605,99551
71,Malèna,4794,10757,81154
72,"Not Love, Just Frenzy (Más que amor, frenesí)",93196,63123,96747
73,"Thief, The (Vor)",44790,41868,51740
74,Wreckers,88649,55466,82444
75,Flower Drum Song,60751,19055,75072
76,"Life of Emile Zola, The",4014,26357,57104
77,Easy A,73173,61208,42750
78,Don't Drink the Water,33831,54869,37136
79,Colorado Territory,60815,52302,15207
80,Agnes Browne,82460,78457,41658
81,Girl in the Cadillac,98138,85761,44347
82,Streamers,92415,73717,12894
83,Tabu,46196,90244,7820
